size,1,2,4,8,16,32,64,128,256
1,0.4845739953141307,0.5162620734825395,0.5732060002750761,0.7025125426946436,0.9633817695900543,0.9928005371697126,0.9975027673870519,0.9982672073479879,0.9985871760840296
2,0.5048731175129489,0.5638708802098436,0.698574218074536,0.9599796753915281,0.9927755859951742,0.9974917464531696,0.9982754676123108,0.9985802037249367,0.998660012396947
4,0.5493100650430295,0.7004200529389074,0.9185826206089305,0.992557162048922,0.9975568295180963,0.9982724358548037,0.9985773001157208,0.998657373538527,0.998657373538527
8,0.8298269433395302,0.9423044733056402,0.9954117868720823,0.9987134566290946,0.9990706051659581,0.9992336805356203,0.9992827379195518,0.9992827379195518,0.9992827379195518
16,0.9557170855277752,0.9962996716120284,0.9992641392410284,0.9995002615944566,0.9995819340523205,0.9996088886588762,0.9996088886588762,0.9996088886588762,0.9996088886588762
32,0.9890879666280407,0.9992937893082396,0.9997107770716569,0.9997560608106706,0.9997792417723085,0.9997795113183741,0.9997795113183741,0.9997795113183741,0.9997795113183741
64,0.9905106307620526,0.9996320696205142,0.9998498628414846,0.9998725047109913,0.9998743915334503,0.9998743915334503,0.9998743915334503,0.9998743915334503,0.9998743915334503
128,0.9968325641836353,0.9998838256457447,0.9999185970882016,0.9999234489173817,0.9999234489173817,0.9999234489173817,0.9999234489173817,0.9999234489173817,0.9999234489173817
256,0.9957966986536982,0.9999450126026262,0.9999520208003307,0.9999525598924619,0.9999525598924619,0.9999525598924619,0.9999525598924619,0.9999525598924619,0.9999525598924619
